criteria,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
"Approach Roads, Streets & Lanes",50,50,50,50,50,50
Built Environment and Streetscape,50,50,50,50,0,0
Community Involvement & Planning,60,60,60,60,0,0
Community – Your Planning and Involvement,0,0,0,0,60,60
Green Spaces and Landscaping,0,0,0,0,50,60
Landscaping and Open Spaces,50,50,50,50,0,0
Nature and Biodiversity in your Locality,0,0,0,0,50,50
Residential Streets & Housing Areas,50,50,50,50,50,50
Streetscape & Public Places,0,0,0,0,50,60
Sustainability – Doing more with less,0,0,0,0,50,50
Sustainable Waste and Resource Management,50,50,50,50,0,0
TOTAL MARK,450,450,450,450,450,470
Tidiness and Litter Control,90,90,90,90,90,90
"Wildlife, Habitats and Natural Amenities",50,50,50,50,0,0
